,,,,Rougé-Maillart 2009,,,,,,,,,Buckberry and Chamberlain 2002,,,,,,,Lovejoy 1985,,Suchey-Brooks 1990,,Iscan 1984-1985,,Falys and Prangle 2015,,,,,Beauthier 2010,,,,,,Mann 1991
CIM,Age-at-death,ASAB,,ORGANIZZAZIONE TRASVERSA (1-7),SURFACE TEXTURE (1-5),POROSITà (1-5),ATTIVITà APICE (1-3),RIM (1-5),FOSSA (1-4),ATTIVITà APICE (1-3),SCORE,,ORGANIZZAZIONE TRASVERSA (1-5),SURFACE TEXTURE (1-5),MICROPOROSITà (1-3),MACROPOROSITà (1-3),ATTIVITà APICE (1-3),SCORE,,SCORE,,SCORE,,SCORE,,topography,porosity,osteophitic formation,SCORE,,IN,AMP,TP,PMP,cp,,GROUP
143,79,M,,6,5,4,3,5,4,3,30,,5,5,3,2,3,18,,8,,,,7,,3,5,2,10,,,,,,,,
151,54,M,,4,5,4,2,3,2,2,22,,4,5,3,2,2,16,,7,,5,,,,1,1,1,3,,,,,,,,
153,62,M,,6,5,5,3,4,1,2,26,,5,5,3,2,3,18,,8,,6,,,,5,3,3,11,,14,6,13,7,2.67,,3
158,75,M,,6,5,3,3,5,3,3,28,,5,5,3,1,3,17,,8,,6,,,,,,,,,,,,,,,
166,93,M,,6,5,4,3,5,4,3,30,,5,5,3,2,3,18,,8,,6,,,,5,4,3,12,,14,7,7,8,2.40,,3
170,70,M,,5,5,4,3,5,2,2,26,,5,5,3,2,3,18,,8,,,,,,,,,,,,,,,,,
172,42,M,,,,,,,,,,,,,,,,,,,,,,,,6,4,1,11,,14,3,8,8,2.20,,3
173,82,M,,7,5,4,3,4,3,3,29,,5,5,3,2,3,18,,8,,6,,,,,,,,,,,,,,,
180,90,M,,7,5,5,3,5,4,2,31,,5,5,3,3,3,19,,8,,6,,,,3,5,2,10,,16,6,22,7,3.40,,4
185,30,M,,5,2,2,1,1,2,2,15,,5,2,2,1,1,11,,4,,3,,,,1,1,1,3,,15,0,6,4,1.67,,2
267,83,M,,6,5,4,3,5,3,3,29,,5,5,3,2,3,18,,8,,6,,,,,,,,,16,9,16,7,3.20,,3
270,84,M,,7,5,5,3,5,2,3,30,,5,5,3,3,3,19,,8,,,,,,6,6,3,15,,16,8,16,6,3.07,,3
275,75,M,,7,5,4,3,5,3,3,30,,5,5,3,2,3,18,,8,,,,,,,,,,,,,,,,,
282,83,M,,6,5,4,3,5,3,3,29,,5,5,3,2,3,18,,8,,,,,,,,,,,16,7,10,6,2.60,,3
284,61,M,,5,5,5,2,3,2,2,24,,4,5,3,3,2,17,,7,,6,,,,5,4,2,11,,,,,,,,
289,47,M,,4,4,3,2,4,3,2,22,,4,4,3,1,2,14,,6,,4,,4,,2,2,1,5,,16,10,16,8,3.33,,3
293,75,M,,7,5,5,3,4,1,2,27,,5,5,3,3,3,19,,8,,6,,,,,,,,,16,8,23,7,3.60,,4
297,71,M,,7,5,3,3,5,2,3,28,,5,5,3,1,3,17,,8,,6,,,,,,,,,,,,,,,
304,85,M,,6,5,5,3,5,4,3,31,,5,5,3,2,3,18,,8,,,,,,4,4,2,10,,,,,,,,
307,71,M,,7,5,5,3,5,4,3,32,,5,5,3,3,3,19,,8,,6,,8,,5,5,2,12,,11,5,11,5,2.13,,1
308,85,M,,7,5,4,3,5,2,3,29,,5,5,3,2,3,18,,8,,6,,,,6,5,3,14,,,,,,,,
